%Temp,%Salinity,%TA,%DIC
-9,-9,2454.85,2089.9
20.26743333,40.62776667,2448.13978,2102.866938
21.91696667,40.63383333,2433.903314,2034.222157
22.17773333,40.61523333,2437.986131,2039.673399
21.65986667,40.61933333,2443.723872,2074.253343
20.8782,40.64406667,2457.219795,2101.995709
20.1051,40.67516667,2450.041439,2103.067746
20.40056667,40.63543333,2461.091482,2116
20.80776667,40.6328,2449.694627,2103.4
21.89303333,40.63743333,2440.649099,2017.45
21.6758,40.60506667,2437.393999,2027.6
-9,-9,2445.499816,2059.11153
-9,-9,2428.204893,2020.925683
-9,-9,2443.45718,2067.47023
-9,-9,2447.398496,2082.998083
-9,-9,2453.800926,2106.367987
-9,-9,2462.82245,2108.231374
-9,-9,2466.407021,2105.35
-9,-9,2449.704324,2087.65
-9,-9,2428.751662,2012.25
-9,-9,2447.602049,2032.75
21.34826667,40.60646667,2450.382666,2085.95
21.70353333,40.6048,2447.964849,2063
21.81643333,40.61143333,2441.776905,2064.25
21.58336667,40.60803333,2446.697304,2083.5
21.33783333,40.61276667,2459.646121,2098.9
21.27063333,40.6049,2460.334842,2093.25
21.27176667,40.6025,2455.867229,2095.3
21.30736667,40.60706667,2450.980042,2093
21.60873333,40.6111,2444.780473,2062.15
21.51773333,40.6082,2451.064727,2057.05
-9,-9,2452.1,2040.25
-9,-9,2444,2010.75
-9,-9,2452.6,2085.3
-9,-9,2451.5,2088.1
-9,-9,2461.25,2081.75
-9,-9,2465.25,2093.7
-9,-9,2466.1,2092.7
-9,-9,2457.95,2095.9
-9,-9,2455.3,2076.8
-9,-9,2464.5,2070.9
21.31413333,40.61266667,2457.15,2074.95
21.6231,40.59,2448.55,2064.5
21.59743333,40.5946,2455.25,2079.7
21.59743333,40.6121,2454.2,2085.3
21.4048,40.61103333,2457.6,2087.55
21.29366667,40.61233333,2465.4,2094.4
21.25243333,40.60863333,2458.25,2088.9
21.33073333,40.60523333,2455.35,2102.7
21.57173333,40.59766667,2452,2074.15
21.47766667,40.6072,2417,2081.15
